query,载体形式,时长秒,点赞数,内容形式主类,标题,话题标签,作者,发布时间,编码命中
鲁迅说,视频,103,112000,无关混入,,触动心坎的那些话,创作者_063,2024年6月7日,无关混入(无鲁迅相关词)
鲁迅说,视频,103,525,名句呈现类,读懂了鲁迅的这八句话，你对人性的认知能提升不止一个层次,,创作者_064,2024年6月7日,名句呈现类;共鸣纪念类
鲁迅说,视频,121,817,名句呈现类,鲁迅先生的八句话， 再过一百年也不过时,认知;思维格局;人生智慧,创作者_065,5月24日,名句呈现类
鲁迅说,视频,178,1957,共鸣纪念类,《 从 来 如 此 ， 便 对 么 ？》 但我坦然，欣然。我将大笑，我将歌唱。——鲁迅《野草·题辞》 已授权翻唱 翻唱：云横YH 策划/作曲：哦呼w 填词：非桥段 编曲：疯猴pme 手书分镜：肘子 绘制：肘子，阿栗，星野 手书后期：千穆林 和声：云横，璐璐，茶喵喵喵喵嗝,鲁迅先生;觉醒;音乐,创作者_066,2025年2月12日,共鸣纪念类
鲁迅说,视频,185,1,共鸣纪念类,年少时候读不懂鲁迅先生的文章，长大了却不愿意回想起，是选择面对，还是选择回避？ 人还是傻一点好，知道的越多，越清醒，就会越矛盾，越痛苦，最终会活在对与错，真与假，正与邪交织中，有人渐渐的迷茫，有人渐渐的抑郁，有人永远守住本心，有人最终堕入无间炼狱，与邪魔歪道为伍，什么是正，什么邪，什么是善，什么是恶？,,创作者_067,12小时前,共鸣纪念类
鲁迅说,视频,192,601,名句呈现类,当代“看客”,鲁迅;人文星闪耀计划,创作者_068,2024年9月4日,名句呈现类(原句特征)
鲁迅说,视频,202,33000,共鸣纪念类,鲁迅，一个我们讨论太多而了解太少的人，无数人因为他挺直了脊梁，睁开了双眼。此刻，我们共同纪念他。,鲁迅先生;历史,创作者_069,2023年10月19日,共鸣纪念类
鲁迅说,视频,228,1026000,共鸣纪念类,纪念鲁迅短片《天亮了》 他在长夜里闭上了眼。 后来，每一个翻开《呐喊》的人，都在他的字里行间看见了日出。 纪念伟大的文学家、思想家、革命家——鲁迅。 本片改编自鲁迅文集及相关史料，为艺术创作，无不良引导,AI创作浪潮计划;未来导演扶持计划;seko;sekoai;sekosd2全能模式,创作者_070,5月3日,共鸣纪念类
鲁迅说,视频,241,1851,名句呈现类,横眉冷对千夫指，俯首甘为孺子牛。鲁迅的《自嘲》,朗诵;语文;古诗词;国学文化;鲁迅,创作者_071,2023年11月2日,名句呈现类(原句特征)
鲁迅说,视频,251,67000,仿写玩梗类,"抖音读书日｜AI让经典好书复兴-鲁迅：""从来如此，便对吗？""",AI让经典好书复兴;用AI打开人文新视界;未来导演扶持计划;AI创作浪潮计划,创作者_072,4月21日,仿写玩梗类
鲁迅说,视频,256,5683,知识讲解类,鲁迅先生早在100年前就提出了“父母无恩论”。,鲁迅先生;亲子教育;情感;知识分享,创作者_073,3月10日,知识讲解类
鲁迅说,视频,278,3979,共鸣纪念类,鲁迅一直在呐喊，叫醒装睡的麻木人,鲁迅;高晓松;文学,创作者_074,4月26日,共鸣纪念类
鲁迅说,视频,300,9418,知识讲解类,鲁迅的”女性观“到底有多超前,鲁迅先生;女权;近代史;文学;女性,创作者_075,3月21日,知识讲解类
鲁迅说,视频,302,14000,知识讲解类,“摆脱冷气，只是向上走，不必听自暴自弃者流的话”-人生低谷，重读鲁迅,文脉里的中国;鲁迅先生,创作者_072,2025年11月6日,知识讲解类
鲁迅说,视频,302,28,共鸣纪念类,"挖开人性的《坟》墓，用文字刨开旧时代的坟，也照见了今天的我们 ""愿中国青年都摆脱冷气，只是向上走。"" 你有没有觉得，百年前鲁迅写的人和事，今天依然在上演？这本《坟》收录了鲁迅早期最具战斗性的杂文，他用最犀利的笔触，刨开了旧时代的脓疮，也戳破了人性的虚伪与麻木。 他骂的不是某一个人，而是刻在骨子里的国民劣根性。百年过去，我们依然需要鲁迅，依然需要这份清醒与勇气。 致敬永远的民族魂。   #  #",每日读书;好书推荐;读书分享;经典文学名著;坟,创作者_076,6月11日,共鸣纪念类
鲁迅说,视频,305,55,知识讲解类,第九集｜鲁迅仿写秘籍（下），终于来了！,鲁迅先生;语文;作文素材,创作者_077,7月25日,知识讲解类;仿写玩梗类
鲁迅说,视频,318,2331,无关混入,年轻人的陷阱,鲁大魔;创业者;励志;成长;周斌,创作者_078,3天前,无关混入(无鲁迅相关词)
鲁迅说,视频,318,39000,知识讲解类,你知道鲁迅是如何写国服性压抑的吗？,肥皂;深度解析,创作者_079,6月10日,知识讲解类
鲁迅说,视频,319,23000,知识讲解类,三分钟带你理解精神胜利法：在屈辱中凯旋，你我都有点”阿Q“？,读书;文学;鲁迅;阿Q正传;精神胜利法,创作者_080,2025年7月4日,知识讲解类
鲁迅说,视频,319,223000,知识讲解类,为什么对孩子最好的“托举”，在鲁迅眼里其实也算不上恩？,鲁迅先生;家庭;亲情;如果说,创作者_081,6月12日,知识讲解类
鲁迅说,视频,337,227000,知识讲解类,一句“两棵枣树”被误读了近百年,鲁迅先生;秋夜;阅读;文学;从良老师,创作者_082,4月6日,知识讲解类
鲁迅说,视频,345,21000,知识讲解类,鲁迅是如何骂男人的？不得不说迅哥是真敢骂的,就想说点大实话;女性智慧;两性情感;婚姻;girlstalk,创作者_083,1月26日,知识讲解类
鲁迅说,视频,367,180000,名句呈现类,怼天怼地怼空气，民国第一“喷子”鲁迅，都怼了哪些人？,鲁迅周树人;鲁迅先生;抖音精选计划,创作者_084,2025年10月20日,名句呈现类(原句特征)
鲁迅说,视频,383,2746000,仿写玩梗类,2025，眼看就剩这最后一天，仿鲁迅先生口吻做了《年终总结》一篇，全是絮絮念念，不知道有几个人能听我叨叨完。听完的伙伴，别忘了留言，我要祝你马年一马当先，事事如愿！！没听完，我也没意见，权当你听完，一样送祝愿😃！哈哈，新年快乐！愿我们新的一年携手并肩，收获满满，开心向前！,年终总结;仿鲁迅先生;迎新年;新年快乐;年度回顾;仿鲁迅先生,创作者_085,2025年12月31日,仿写玩梗类
鲁迅说,视频,385,3,知识讲解类,鲁迅名言名句：不是金句批发机，是一把不肯收鞘的解剖刀 鲁迅的名言,热门;热点;涨知识;历史;鲁迅,创作者_086,2天前,知识讲解类;名句呈现类
鲁迅说,视频,408,438000,共鸣纪念类,鲁迅，一个讨论太多而了解太少的人,鲁迅;王家卫;周树人;文学;呐喊,创作者_087,2023年7月24日,共鸣纪念类
鲁迅说,视频,521,32000,无关混入,高级作文的表达和结尾，都藏在不起眼的钉子里！,作文;作文素材;高中作文;初中作文;语文,创作者_088,6月3日,知识讲解类;无关混入(无鲁迅相关词)
鲁迅说,视频,539,10000,共鸣纪念类,从“弃医从文”到“民族魂”，鲁迅是一个时代的觉醒者！,独白;鲁迅;历史,创作者_089,2025年3月20日,共鸣纪念类
鲁迅说,视频,556,2608,知识讲解类,鲁迅，你真的了解他吗？ 五篇文章带你走过他的一生,鲁迅先生;狂人日记;呐喊,创作者_090,1月1日,知识讲解类;共鸣纪念类
鲁迅说,视频,598,2149,名句呈现类,鲁迅:猛兽总是独行,人文星闪耀计划;配音;历史人物;鲁迅,创作者_091,2024年10月29日,名句呈现类
鲁迅说,视频,653,37,知识讲解类,你敢不敢一个人走？｜鲁迅谈从众与独行 参考篇目：鲁迅《这个与那个》《习惯与改革》《经验》,鲁迅先生;认知;人生感悟;独立思考;人文,创作者_092,7月29日,知识讲解类
鲁迅说,视频,653,5848,知识讲解类,经历得越多，越是能读懂鲁迅书中血淋淋的现实。,鲁迅先生;文学;阅读,创作者_093,2025年2月23日,知识讲解类;共鸣纪念类
鲁迅说,视频,720,4123,知识讲解类,面对曾经的伤害，你一定要原谅他们吗？鲁迅《铸剑》中早有答案！,铸剑;鲁迅;文学,创作者_094,2月12日,知识讲解类
鲁迅说,图文,,1,知识讲解类,“迅哥儿”的有趣，我现在才真正get到…“深蓝的天空中挂着一轮金黄的圆月，下面是海边的沙地，都种着一望无际的碧绿的西瓜。其间有一个十一二岁的少年，项戴银圈，手捏一柄钢又，向一匹猹尽力地刺去。那猹却将身一扭，反从他的胯下逃走了。”我知道猹，还是从语文书上的《少年闰土》开始的。 《故乡》这篇文章发表以后，很多人好奇鲁迅先生笔下那吃瓜的“猹”到底是什么动物？在给舒新城的信中鲁迅先生还专门解释了一句，“‘,读书;短句文案;鲁迅;随笔;原创,创作者_095,2天前,知识讲解类;仿写玩梗类;名句呈现类;共鸣纪念类
鲁迅说,图文,,10000,名句呈现类,从来如此 便对吗？,鲁迅先生;认知觉醒;人间清醒;文学;经典语录,创作者_096,2022年11月28日,名句呈现类;共鸣纪念类
鲁迅说,图文,,11000,名句呈现类,鲁迅这八句话，估计再过一百年也不过时,名人名言励志正能量;名人名言;鲁迅,创作者_097,2023年9月22日,名句呈现类
鲁迅说,图文,,11,仿写玩梗类,鲁迅说：生活就是这样，别人只看结果，自己独掌过程，面对生活我们除了坚强就是继续别无选择，路可以回头看，但不可以回头走,,创作者_098,2022年5月6日,仿写玩梗类
鲁迅说,图文,,118,仿写玩梗类,鲁迅先生的话放到今天依然那么真实。   @抖音创作者中心 @抖音热点宝,鲁迅先生;图文;名人名言,创作者_099,2023年11月13日,仿写玩梗类;名句呈现类
鲁迅说,图文,,130,无关混入,,总有一句话戳心,创作者_100,2024年10月1日,名句呈现类;无关混入(无鲁迅相关词)
鲁迅说,图文,,144,名句呈现类,鲁迅笔下惊艳到你的句子,鲁迅名言,创作者_101,2023年5月7日,名句呈现类
鲁迅说,图文,,159,名句呈现类,名言金句  语言,鲁迅;讽刺;语言魅力,创作者_102,3月11日,名句呈现类
鲁迅说,图文,,18,名句呈现类,,每日书摘;人生哲理;鲁迅先生;悟人生之道;读书点亮人生,创作者_103,2023年11月28日,名句呈现类
鲁迅说,图文,,18,共鸣纪念类,鲁迅笔下的极致清醒（中）     @抖音创作者中心 @抖加🔥上热门🔥dou+🔥热点宝 @抖加DOU谢谢关注 @我要上热门,上热门;古诗词;国学文化;读书;图文伙伴计划2024,创作者_104,2024年5月7日,共鸣纪念类
鲁迅说,图文,,19,无关混入,我本来没有喜欢的人， 见你的次数多了也便有了。,每日书摘;读书;金句摘抄;让阅读成为一种习惯;文字的力量,创作者_105,2024年9月21日,知识讲解类;名句呈现类;无关混入(无鲁迅相关词)
鲁迅说,图文,,22000,名句呈现类,,清醒;每日书摘;短文;独立思考;鲁迅名言,创作者_106,2022年6月10日,名句呈现类;共鸣纪念类
鲁迅说,图文,,23000,名句呈现类,“鲁迅笔下极具讽刺性的句子”,,创作者_107,2023年7月21日,名句呈现类(原句特征)
鲁迅说,图文,,224,知识讲解类,鲁迅的名言   #@,知识分享;提升自己;每天学习一点点,创作者_108,2024年10月10日,知识讲解类;名句呈现类
鲁迅说,图文,,2253,名句呈现类,鲁迅30句经典语录,,创作者_109,2024年10月23日,名句呈现类
鲁迅说,图文,,226,名句呈现类,鲁迅道出人生真谛,鲁迅先生;经典语录;正能量;生活感悟,创作者_110,2025年11月28日,名句呈现类
鲁迅说,图文,,233,无关混入,😀😀😀,,创作者_111,2022年6月10日,名句呈现类(图文推定);无关混入(无鲁迅相关词)
鲁迅说,图文,,26,名句呈现类,鲁迅说的,,创作者_112,2025年1月3日,名句呈现类(图文推定)
鲁迅说,图文,,2762,名句呈现类,鲁迅这8句话把人性研究的透透的，也许再过一百年也不过时…,人性;每天学习一点点;提升自己;鲁迅先生;手写,创作者_113,4月14日,名句呈现类
鲁迅说,图文,,286,名句呈现类,鲁迅超燃讽刺名言，清醒又炸裂 鲁迅先生的语录，就像一把把手术刀，精准地剖析着人性和社会。 它们清醒得让人警醒，炸裂得让人振奋。 在这个纷繁复杂的世界里，让我们把这些语录刻在心里，时刻保持清醒的头脑，勇敢地与黑暗和不公抗争！,鲁迅;狂人日记;文学;阿Q,创作者_114,1月22日,名句呈现类;共鸣纪念类
鲁迅说,图文,,3169,名句呈现类,有种醍醐灌顶的感觉。,手写;鲁迅先生;狂人日记语录;一针见血的文案,创作者_115,3月16日,名句呈现类
鲁迅说,图文,,328,知识讲解类,鲁迅《狂人日记》摘抄。,每日书单分享;今日分享;传递正能量,创作者_116,2022年11月7日,知识讲解类;名句呈现类
鲁迅说,图文,,340,名句呈现类,先生总是一针见血,上热门;每日书摘;鲁迅先生,创作者_117,2023年8月25日,名句呈现类
鲁迅说,图文,,39,知识讲解类,感谢你的阅读!有缘相遇，觉得 鲁迅先生说的有道理的点个小❤️❤️点个关🐷，我们一起分享，一起进步，共同成就更好的自己。,,创作者_118,2025年1月16日,知识讲解类
鲁迅说,图文,,396,仿写玩梗类,鲁讯说：“只要经常花钱，烦恼就会减少80%，但是钱从哪来，鲁讯没说,每日分享;咖啡日常;少喝鸡汤多喝拿铁,创作者_119,7月18日,仿写玩梗类
鲁迅说,图文,,4,名句呈现类,鲁迅的清醒，句句封神|人间清醒天花板！他写人性，写沉默，写希望，写清醒，每一句都能扎进心里。当你觉得迷茫、焦虑、被裹挟的时候，翻翻鲁迅，会发现—原来早就有人替你说透了。,鲁迅;人间清醒;文案分享;金句分享;读书笔记,创作者_120,8月15日,名句呈现类;共鸣纪念类
鲁迅说,图文,,4301,仿写玩梗类,鲁迅体emo文案 破大防了@@,鲁迅,创作者_121,2021年12月21日,仿写玩梗类
鲁迅说,图文,,45,知识讲解类,鲁迅啊，我感受到了世人为何说你“狂”了。,那些难忘的课文;鲁迅弃医从文;鲁迅先生;周树人先生;狂人日记,创作者_122,1天前,知识讲解类
鲁迅说,图文,,4525,名句呈现类,鲁迅先生的名言。句句在理，句句封神……,文字的力量;文案;清醒认知;那些书里的句子照进现实的时刻;语录分享,创作者_123,2024年8月8日,名句呈现类;共鸣纪念类
鲁迅说,图文,,46,名句呈现类,六上第25课《我的伯父鲁迅先生》课堂笔记。本课目标： 1.能用较快的速度默读课文。 2.能用小标题的形式概括文中所写的关于鲁迅的几件事。 3.能借助课文及相关资料，感受鲁迅的人物形象。   明天在返程的路上，不更新。,手写笔记;每天学习一点,创作者_124,8月25日,名句呈现类(原句特征)
鲁迅说,图文,,472,名句呈现类,鲁迅先生经典语录。,社会百态;社会真相;鲁迅先生;人间清醒;人间真实,创作者_125,2025年1月12日,名句呈现类;共鸣纪念类
鲁迅说,图文,,5,仿写玩梗类,鲁迅先生说了：倒也不是好色，只是花开得正艳，我若不欣赏两眼，倒显得我不解风情。,,创作者_126,1天前,仿写玩梗类
